rating,review
1.0,"Gigienik emas, masalan, oshpaz yalang qo‘li bilan mijozning likopchasiga dolma yig‘adi"
5.0,"Mazali milliy taomlar, narxlar qolganlaridan yuqori. Ajoyib osh, barbekyu ham."
4.0,"Lag‘mon, kurdak oldim. Avval lag‘monni yeb, kurdakka pushaymon bo‘ldim; portsiya katta (men och qolgan bo'lsam ham). Do'stlaringiz bilan keling va ovqatlanishni baham ko'ring. Oziq-ovqat yaxshi, yomon emas, lekin unchalik ham o'ziga xos emas (ayniqsa, agar siz ularni ilgari boshqa joylarda yegan bo'lsangiz). Lekin pulga arziydi (Laghnan 24 ming so'm, Kurdak 32ming so'm)"
5.0,Yaxshi
2.0,"Shunday qilib, targ'ib qilingan joy, oziq-ovqat unchalik emas, kabobdan aytilgandan yomonroq, hech qanday souslaryo'q, men yaqin atrofdagi do'konga yugurishim kerak edi. Maslahat bermayman."
5.0,"Yaxshiroq joy, mazali va haqqoniy narxlar"
2.0,Gumma - bu axlat
5.0,"Ular har doim mazali bo'lib kelgan. Jasorat bilan boring, shubhasiz, sizga juda mazali taom beriladi."
5.0,O'rtacha xizmat. Ko'p taomlar. Tozalik unchalik emas Lekin menga yoqdi.
1.0,"Yaqinda u dahshatli kafega aylandi! Ofitsiantlar doimo aldashga harakat qilishadi! Xizmat dahshatli. Milliy “Kuza shurva” va “Halim”dan boshqa taomlar xuddi lattadek. Kabobning sifati ayniqsa yomon, bu dahshatli."
5.0,"Mazali taom va tezkor xizmat, xush kelibsiz!"
5.0,Barcha taomlar o'ziga xos ta'mga ega yuqori sifatli.
5.0,Men ko'p marta tushlik qilgan joy
5.0,"Zo'r milliy taomlar bo'lishi kerak! Ichki makon va qulayliklar uchun joyning o'zi kimgadir e'tibor berishga loyiq emasdek tuyulishi mumkin, ammo oziq-ovqat sifati barcha uchinchi tomon kamchiliklaridan ustundir. Men poytaxt aholisi va mehmonlarini tavsiya qilaman. Ovqatni olib ketishni buyurish mumkin. Narxlar juda yoqimli va etarli."
5.0,Bu yerda ajoyib va mazali taomlar tayyorlanadi
4.0,"Milliy taom - bu ulkan restoran, men soat 20.45 da kelganimda deyarli bo'sh edi. Men eshik oldida bir necha daqiqa turdim, ba'zi xodimlar atrofimda suhbatlashishdi, ba'zilari esa mijozlarga yordam berishdi. Mening fikrimcha, hech kim sayyohlar bilan shug'ullanishni xohlamaydi, chunki ular juda ko'p ish qiladilar. Nihoyat, men registrga bordim va bir oz ingliz tilini biladigan xodimni chaqirishdi va oxir-oqibat men salat bari va ochiq havoda kitckenni tanlab, buyurtma berishim mumkin edi. Sho'rva oddiy, lekin juda yaxshi, non odatdagidan ancha yaxshi edi."
1.0,"Vaqtini qadrlaydiganlar uchun bu joyni tavsiya etmayman! Bu yerda xizmat yo‘q, ofitsiantlar u yoqdan-bu yoqqa yurishadi, yoki kiraverishda turib suhbatlashishadi. Oziq-ovqat juda qimmat, narxlar muassasaga mos kelmaydigan restoran narxlari. 15 daqiqa kutishdan keyin ofitsiant buyurtmani olaman, deb bir necha bor o‘tib ketgan bo‘lsa-da, bizga yetib bormadi."
4.0,"Haqiqiy o'zbek oshxonasi. Ko'pincha go'shtga asoslangan, faqat bir nechta sabzavotli salat variantlari bor. Go'sht, albatta, sifatli va yaxshi ta'mga ega. Ochiq yashash maydoni odamlar tomosha qilish uchun juda yaxshi. Ba'zi xodimlar ingliz tilini yaxshi bilishadi. Menyu yo'q, lekin ovqat peshtaxtasida buyurtma berish mumkin, bu esa butun tajribani yanada yoqimli qiladi."
5.0,Faqat go'shtli ovqatlar uchun! Juda arzon narxi bilan ajoyib joy. Kuchli tavsiya
5.0,"Ajoyib joy! Bu yerda besh barmoq ajoyib (ayniqsa xamiri) arzon, men yana kelaman, grilda jigarni tatib ko'rmoqchiman. Xizmat yoqimli, sezgir. Menyu oddiy, ammo kam emas ... Men, albatta, maslahat beraman!"
2.0,"Ular tez, lekin taom hech qanday maxsus emas, men noddle sho'rva buyurtma qildim  va u juda sho'r edi. Bu arzon, shuning uchun siz to'lagan narsangizni olasiz."
5.0,Ajoyib restoran! Odatdagi va mahalliy taomlar ulkan qozonlarda tayyorlanadi. Ovqat juda yaxshi va saxovatli.
5.0,Mazali va arzon! Qattiq tavsiya qilaman!
5.0,"Bu erda ovqatlanish yoqimli). va shuningdek, men bu erda nega shunchalik kam odamlar kelishadi hayronman. Tavsiya etilgan"
4.0,Ovqat mazali
5.0,Bu sizga yoqadigan barcha taomlarga ega bo'lish uchun ajoyib joy
5.0,Mahalliy aholi + mahalliy taom. Haqiqiy o'zbek taomlari uchun keling.
5.0,Eng yaxshi milliy taom
1.0,Juda qimmat! Aroq soxta. Ovqat juda qimmat.
4.0,Mazali pishirilgan
5.0,HAMMA NARSA NORMAL
5.0,Ovqatlanish uchun ajoyib joy
5.0,Milliy taomlar! 🍗🍖🍔🍕
5.0,Ajoyib
5.0,Hamma taom mazali
2.0,"Yopilgan, ovvora bo'lib borib yurmanglar."
5.0,"Joy zo'r edi, men yaqin joyda ishlaganman, har kuni shu yerda ovqatlanaman. Afsus ular yopildi."
4.0,Men o'zimdan juda xursand bo'ldim. An'anaviy taomlarning keng tanlovi.
5.0,Yaxshi joy. Kichik bir kompaniya kelishi mumkin. Lekin kutish kerak
5.0,"Bu ajoyib joy edi, lekin u qandaydir tarzda yopildi, umid qilamanki, bir muddatga"
5.0,Milliy taom nima !!!!!
5.0,99% mahalliy aholi - yaxshi belgi) yaxshi ovqat o'rtacha narx.. Tavsiya etiladi)
4.0,"Yaxshi taom, mahalliy lazzat. Biroz chalkash, ammo qiziqarli tajriba."
1.0,"Mutlaqo 1 YULDUZ! Ular hamma joyda o'zlarining tripadvisor nuqtasiga ega bo'lib, ular bu eng yaxshi restoran ekani bilan faxrlanishadi. Hech kim siz bilan salomlashmaydi yoki orqada yashiringan ofitsiantning menyusini ham bermaydi. Shunday qo'pol odatiy rus munosabati! Biz sayyoh ekanligimizni aniq ko'radi, garchi ular ingliz menyusiga ega bo'lsa-da, u o'z hayotidan juda zerikkan ruscha ko'rinadi. Uning ishiga loyiq emas! Agar u buni juda yomon ko'rsa, u ketishi kerak va kimdir u erda ishlashga loyiq bo'lsa, bu buldogga munosabatda emas! QO'O'L MAKABIR E'tiborsiz 👎🏻👎🏻👎🏻👎🏻"
1.0,Bugun men ular bilan Express 24 orqali buyurtma berdim. Ularning reklamasida “Kaprese salatini har bir buyurtma bilan beramiz” deb yozilgan. Buyurtma yetkazib berildi. Hech qanday Caprese kiritilmagan.
5.0,Hammasi zo'r edi va uchta xonim opa-singillar kabi juda maftunkor edi.
4.0,"Chiroyli shinam joy, bayram oshi juda zo'r bo'ldi. Evropa taomlari + milliy oshxonaning alohida menyusi, mos narx yorlig'i. Tavsiya eting"
4.0,"Keng mahalliy menyuga ega kichik italyan kafesi. Xizmat muloyim va ofitsiant menyudan biror narsani maslahat berish yoki taklif qilishdan mamnun. Biz olgan qismlar kichik bo'lib tuyuldi, lekin bu salat va gazaklar edi, bu umuman yaxshi. Sharob ro'yxatida spirtli ichimliklarni tanlash juda yaxshi. Menga ovqat yoqdi, men buyurgan hamma narsa mazali edi."
5.0,Mazali 😋 tayyorlangan. Yevropa va milliy taomlar mavjud. Intruziv xizmat emas.
5.0,"Xo'sh, u erda bo'lish ajoyib tajriba edi. Ularda mazali taomlar, juda mehribon va professional xodimlar bor."
1.0,"Xodimlar juda zo'r edi, juda uzr so'radi, chunki ularda biz xohlagan menyuda ko'rsatilgan hech narsa yo'q edi. Menimcha, bu ko'proq boshqaruv muammosi. Bu shanba kechasi edi? Shunday qilib, bu sizning eng band kuningiz bo'lishi kerak... Sevishganlar kuni, Umid qilamanki, keyingi safar bu hal qilinadi."
1.0,"Xodimlar ajoyib edi. Menyu ta'sirli edi, lekin shanba oqshomida barcha go'shtli taomlar mavjud emas edi. ketishga qaror qildik. Keyin bizdan buyurtma qilingan choy uchun 20% uchlik undirildi."
1.0,Hozirgina yetkazib berishni buyurdi.
5.0,mukammal joy
5.0,"Asl interyer, mazali oshxona, hamma narsa me'yorida, o'rtacha italyancha. Xizmat yaxshi, ingliz tilidagi menyu bor, hozir juda kam, shuning uchun bu katta ortiqcha. Cho'chqa go'shti ham bor, agar havaskor bo'lsangiz, iltimos"
5.0,"Yaxshi xodimlar, mazali va qimmat emas"
5.0,"Yaxshi ovqat, xushmuomala ofitsiantlar, yoqimli atmosfera. Sizga yana nima kerak?"
5.0,"Turli va juda mazali taomlari bilan (milliydan yevropachagacha) juda qulay, samimiy joy. Alohida-alohida, men ularning qizil uy qurilishi sharobini ta'kidlamoqchiman! Bu shunchaki aql bovar qilmaydi! 👌🏻🍷"
4.0,Yaxshi xizmat. Menyudan tanlash uchun juda ko'p. Visa kartasi mavjud
5.0,Yaxshi !
4.0,Yaxshi !
5.0,"Qo'zi go'shtidan tayyorlangan ajoyib taom, yumshoq va mazali. Biz bu yerda yig'ilish o'tkazdik, chunki joy yaxshi va u yerda qulay o'rindiqli maxsus xona sifatida. Har bir ofitsiant ingliz tilida bemalol gapira oladi. Hayotingizda bir marta sinab ko'ring, shunda ular qoyil qoladilar👍"
5.0,👍👍👍
5.0,Juda mazali taom. Va yaxshi foydali xizmat. Ovqatlanish uchun yaxshi mazal
5.0,"O'zbekiston ham go'shtning eng chiroyli shakli hisoblanadi. Mahalliy taomlar unchalik yaxshi emas. Lekin go'sht ajoyib. Ajabo, pishloq lagan go'shtdan 3 baravar qimmat."
5.0,"Bu joy juda yoqdi, mazali taomlar va ehtiyotkor xodimlar. Evropa ko'rinishidagi qiz ayniqsa mehribon edi, afsuski, ismini unutib qo'ydi."
4.0,Mazali kompot
5.0,Bu joy ko'plab sayyohlar tomonidan juda mashhur.
5.0,Yaxshi restoran. Ajoyib taom. Diqqatli xodimlar. 5 soat o'tirвшл. Vaqt o'tib ketdi. Issiq atmosfera. Bizning maftunkor ofitsiantimizga alohida rahmat
5.0,"Ajoyib kafe, juda yaxshi Yevropa va milliy taomlar. Do'lmani sinab ko'ring, ajoyib chiqadi. Lekin narxlar, albatta, Toshkentda oʻrtachanarxidan yuqori, lekin Moskva yoki istalgan yirik shahar uchun juda oddiy."
5.0,Ajoyib cheesecake!
5.0,"Bu juda yaxshi. Mazali. Bu mehribon. Biroq, kunning vaqtiga qarab mavjud bo'lmagan menyular mavjud."
4.0,Tez xizmat va mehribon xodimlar.Ularda mazali latte bor.20% qo'shilganligi uchun bitta yulduzni olib tashladim.
3.0,"Bu joy bir muncha vaqtdan beri bor edi va men nihoyat tug'ilgan kun uchun kechki ovqatga tashrif buyurishga majbur bo'ldim. Taom juda o'rtacha, lekin u Toshkentdagi g'arbiy restorandan kutgan narsaga yetarli. Sharob tanlovidan biroz hafsalamiz pir bo'ldi va o'z shishamiz uchun qo'shimcha xizmat haqini to'lashga majbur bo'ldi. Restoranning chiroyli dekoratsiyasiga mutlaqo zid bo'lgan katta ekran va orqa fonda tasodifiy rus estrada musiqasini mutlaqo rad eting."
5.0,Mazali taom do'stona muhit.
4.0,"Tinch interyer va chiroyli, hatto oshxona. Faqat no'xat xamiri emas, balki mukammal tayyorlangan."
4.0,yaxshi restoran
5.0,Men  qattiq maslahat beraman
3.0,"Shubhasiz, agar siz bu yerda, Toshkentda mazali taom iste'mol qilmoqchi bo'lsangiz, mahalliy aholi eng yaxshi qiladigan narsaga rioya qiling, ya'ni mahalliy o'zbek oshxonasi. Toshkentdagi italyan restoraniga kirib, Italiyada topiladigan sifatli va ta’mli italyan taomlarini kutmang. Men bu restoranga hech qanday umidlarsiz kirdim, lekin ovqatdan juda yaxshi edim. Men bolonez spagetti va ismaloq + sarimsoq, makkajo'xori yadrosi va grilda pishirilgan aralash sabzavotlarga buyurtma berdim. Ovqatning sifati yaxshi edi. Hammasi yaxshi taqdim etildi. Hech narsa kam yoki ortiqcha pishirilmagan. Taxminan soat 17:30 da u yerda edim, shuning uchun joy band emas edi. Mening ovqatim 15 daqiqadan kamroq vaqt ichida taqdim etildi. Agar siz ularni mintaqadagi mahalliy oshxona narxlari bilan taqqoslasangiz, narxlar keskin. Yana shu yerda tushlik qilsam bo'ladimi? Ha. Nimaga"
3.0,"Yaxshi sozlama, lekin menyuni ko'rib chiqish kerak. Taklif etilgan taomlar muassasa o'zini o'zi joylashtirgan oddiy pab mehmoni uchun mos emas"
2.0,"Birinchi marta 7-mart kuni ular Wi-Fi-dan foydalanishni xohlashdi, lekin ofitsiant egasi chiqib ketganini va faqat u parolni bilishini aytdi, bu unchalik aniq emas, lekin ular omon qolishdi. Ikkinchi marta 13 aprel kuni xotinim va ikki farzandim bilan kelishgan, ikkinchi farzandim 3 oylik edi va u aravada uxlayotgan edi, kirish mumkinmi, deb so'rashganida, o'sha ofitsiant aravacha yo'q, deb javob berdi. ruxsat berdik, nega deb so'radik, u javob berdi: g'ildiraklar iflos. Garchi quruq bo'lsa-da, nega ularni poyabzalga yoki nimaga ruxsat bermaslik kerak? Aytgancha, ""restoran""da ham bolalar uchun kursi yo'q edi. Umuman olganda, ikkita tashrif uchun ikkita salbiy sharh va chekuvchilar va chekmaydiganlar uchun yana bir xona xabar qilinadi, shuning uchun juda ko'p farq yo'q. Agar siz restoranga bormoqchi bo'lsangiz, bu restoranga emas."
3.0,"Asosiy taomlar 30 000 so'mdan. Bundan tashqari, ular xizmat uchun 20% haq oladilar."
3.0,"Mutlaqo haddan tashqari oshirib yuborilgan, taomlar o'rtacha, lekin narxlar eng yuqori chegarada, mehmonxona International ro'parasida yaxshi kutib olindi (narxlar bir yonoq (masalan, pivo uchun 15 dollar) Shuning uchun tashqariga chiqing va yaxshi o'zbek oshxonasidan bahramand bo'ling ..."
5.0,Juda yaxshi joy. Shahardagi eng yaxshi steak va makaron
3.0,bu erda hech narsa yo'q
2.0,"Mayli, vaziyatdan boshlayman. Biz o'tirgan joy deraza yordamida barga birlashtirildi, u erda quloqqa to'g'ri urilgan ustun bor edi. Bularning barchasi bilan u erda juda ko'p narsalar, shu jumladan yo'riqnoma saqlangan va hamma narsa qalin chang qatlamida edi. Bu restoran bo'lsa-da, dasturxonlar g'alati dog'lar bilan iflos edi. Narx va qismlar nomutanosibdir, bu erda narx juda yuqori. 30 mingga 3-4 ming turadigan salat olib kelishadi."
5.0,"Juda mazali, yaxshi xizmat, yoqimli va qulay muhit. Narxlar yoqimli ajablantiradi."
5.0,Yaxshi)))
1.0,"Ikki yil oldin bu restoran butunlay boshqacha edi. O'zgartirildi! Yomon tomonga! Ichi avvalgidek bo‘lsa-da, xizmat ko‘rsatishi, taomlari... Oddiy ko‘cha oshxonasida shunday yaxshi tayyorlangan oddiy kabob, oddiy lag‘mon ham pishirolmasdi, hayronman! Pul yo'q, vaqtim uchun uzr! Men hozir ketaman!!!!"
4.0,Men kelmasdim.
5.0,Yaxshi joy. Oddiy dizayn. Yorqin yoritish.
2.0,"Biz nonushta qilish uchun to'xtadik! Hamma xodimlarning yonidan o'tishi menga yoqmadi, ular asboblarni, keyin barbekyu uchun idishlarni ko'tarib ketishdi. Qahva uchun sut yo'q, ular kofe uchun shirinliklar so'rashdi, 3 dona yangiligi noma'lum tortni taklif qilishdi. Xodimlarning estetik xulq-atvori ustida ishlash kerak"
5.0,Yovuzlik
4.0,"250 o'rinli juda ixcham va kichik to'y ziyofat zali. Ikki qavat. Oq ta'mirlashda juda chiroyli, yaxshi akustika. Chiroyli taomlar va xizmat ko'rsatish darajasi. Bizga juda yoqdi to'y ajoyib o'tdi"
5.0,Zo'r
4.0,Yomon joy emas
5.0,Qanday qilib men u erda hech qachon bo'lmaganimni bilmayman
5.0,Mazali taom
5.0,Juda qulay
4.0,"Joy yaxshi, lekin xizmat unchalik yaxshi emas ("
4.0,Yorqin joy
5.0,So'zsiz zo'r 👍🏻👍🏻👍🏻
5.0,Chiroyli dizaynlashtirilgan to'y zali.
5.0,👍👍👍👍👍👍👍👍👍
5.0,"Daler Hasanov adashasiz. Birinchidan, admin xonasida kamera yo'q, ikkinchidan, qo'riqchilarda qoldirilgan radiostantsiyalarga litsenziya kerak emas. Keyin bu yerga kelgan odamlarni xuddi shunday kutib olishadi. Sizga o'xshaganlar kelganda ham kulishim kerak. Xafa bo'lish yoki yo'qligini bilmay turib dalilsiz gapirish tuhmat. 100% emas 200% o'tkazmalar, terminal bankdan kredit olib ham pul o'tkazishi mumkin"
1.0,"Birinchi ko'chadan odamlarga tashqi ko'rinishiga qarab muomala qilishadi. Masalan, 2016-yil 27-oktabr soat 13:24 da administrator kameradan qarab turgan edi, ertaga kelishsin. Bugun vaqtim yo'q. Ikkinchidan, agar siz turmush qurmoqchi bo'lsangiz, to'y marosimingizni 100% oldindan o'tkaza olmaysiz."
1.0,U endi mavjud emas. Va bu yaxshi.
5.0,Qulay
5.0,Yaxshi
3.0,Restoran buzilgan. Restoran buzilgan.
4.0,Yaxshi joy. Ovqat mazali.
5.0,Yaxshi
4.0,"Chiroyli, mazali, lekin shovqinli, tutunli va joy etarli emas"
4.0,"Ovqatlanish uchun juda yaxshi joy # lekin unchalik yaxshi xizmat emas ... Xo'sh, hammasiga aniq rahmat"
4.0,Asosiysi to'yimli
5.0,To'y uchun yaxshi restoran
5.0,Men sizga juda mazali mahalliy lazzatlarni tatib ko'rishni maslahat beraman
5.0,Super
5.0,Yaxshi
1.0,Zo'r
3.0,Restraunt atrofida yaxshiroq
5.0,kuchli
5.0,"Mazali kozon kabob va norin. Narxlar kimgadir mos keladi. Bino ichidagi go'zal arxitektura. Sizni tanimaydigan juda yosh ofitsiantlar so'ramoqchi. Qanday bo'lmasin, ular muloyim va qo'llaridan kelganini qilishga harakat qilishadi. “Shoxsaroy”da ko'p xilma-xil taomlar, muzqaymoq, shashlaklar menga yoqadi."
5.0,Yaxshi Bir oz qimmatroq uzuk bilan taqqoslaganda.
1.0,Ishchilari kupol va Kors oniksa norinchi ayollari shallaki va madaniyatsiz. Tavsiya kimiman.
3.0,"Afsuski, samsa avvalgidek emas"
5.0,Bu mening uyim
5.0,Kulba
3.0,"O'zbek milliy taomlari restorani. Sizga institutning o'zi va ichki makon haqida gapirib beraylik. Stollar stullar juda toza. Oddiy jadvallar mavjud, yumshoq divanlar (juda toza bo'lmasa-da) va kabinalar mavjud. Ovqatlanadigan joyga qarab, xizmat uchun % ga bog'liq. Dush toza edi, lekin quruq qog'oz peçete yo'q edi. 10 baldan 4 xizmat. Garsonlar chaqirilishi kerak, mehmonlar ularni chaqirish uchun qo'llarini silkitib qo'yishadi.bir-birlari bilan gaplashib, suhbatlashadilar. Xizmat, albatta, yomon emas, lekin yaxshi bo'lishi mumkin. Garsonlar har doim butun zalda bir-birlarini qichqirishadi. Va endi oshxona. Oshxona, albatta, mazali. Barcha ovqatlar mazali, lekin ularning ba'zilari sho'r. Ko'rinib turibdiki, past xizmat tufayli idishlarni kamida 10-15 daqiqa kutish kerak. Natijada, oilam bilan bu joyga bormaslik haqida xulosa chiqarishim mumkin. Lekin siz Shohsaroy restoranda o'zbek taomlarini sinashingiz mumkin."
5.0,Mazali!!!
5.0,Ovqatlanish uchun ajoyib joy
3.0,To'y uchun restoran.
4.0,Sharoitlari mukammal. Ammo narxi qimmat
4.0,Shoxsaroydagi nohat shurakni yaxshi ko'raman
4.0,Mazali pishishadi
4.0,Yomon emas
5.0,Ajoyib restoran
5.0,Ajoyib to'y restorani
5.0,Katta bayramlar va to'ylar zali.
5.0,👍👍👍👍
5.0,mazali oshxona!
1.0,"Kecha biz barbekyuga buyurtma berdik. 20 daqiqa kutildi. Ular yarim pishirilgan go'sht bo'laklarini olib kelishdi. Biz ofitsiantga aytdik, u almashtiraman deb javob berdi. Biz yana 20 daqiqa kutdik. Ikkinchi marta go'shtni nafaqat yarim pishirilgan, balki ortiqcha tuzlangan holda ham olib kelishdi."
3.0,Bayramlar uchun qulay restoran. Kichkina qizil zalda.
1.0,Salataning salatini tasodifan tekshirish mumkin
